name,File Name,medium,year,rotator,all,home,Portfolio,Underground,Opposition,Unrealized,Isolation,SeriesSix,Burn,PointsOfContention,Swarm,Swirls,Drone-related,Flat,PVC,Argument,TwelveHundredPieces,DTTW,Experiment,OtherPlastics,Card
,,,,,All Images,home,Portfolio,Underground,Opposition,Unrealized,Isolation,SeriesSix,Burn,PointsOfContention,Swarm,Swirls,Drone-related,Flat,PVC,Argument,TwelveHundredPieces,DTTW,Experiment,OtherPlastics,Card
Crusty Device With Twigs,IMG_9765.jpg,"PVC, twigs",2015,,x,,x,,,,,,,,,,,,,,,,,,x
Continued Experimentation,IMG_1147.jpg,"Wire Mesh, PVC",2015,,x,,,,,,,,,,,,,,,,,,x,,
Continued Experimentation,IMG_1040.jpg,"Wire Mesh, PVC",2015,,x,,,,,,,,,,,,,,,,,,x,,
Continued Experimentation,IMG_0997.jpg,"Wire Mesh, PVC",2015,,x,,,,,,,,,,,,,,,,,,x,,
Argument,IMG_0955.jpg,Wire Mesh,2015,,x,,,,,,,,,,,,,,,x,,,,,
Experiment Series,IMG_0829.jpg,Photograph,2015,,x,,,,,,,,,,,,,,,,,,x,,
Workshop,IMG_0825.jpg,2015 Season,2015,,,,,,,,,,,,,,,,,,,,,,
Green Thing,IMG_0824.jpg,PVC,2015,,x,,,,,,,,,,,,,,x,,,,,,
Faux Naturale,faux.jpg,"PVC, Sticks",2015,,x,x,x,,,,,,,,,,,,x,,,,,,
Experiment Series,experiment.jpg,Photograph,2015,,x,,,,,,,,,,,,,,,,,,x,,
Device Four Monochrome,device_4_bw.jpg,Photoshop,2015,,x,,x,,,,,,,,,,,,,,,,,,x
Sharp Things / Big Saw,bigsaw.jpg,Photoshop,2015,,x,,,,,,,,,,,,,x,,,,,,,
Argument,argument_at_home.jpg,Wire Mesh,2015,,x,,,,,,,,,,,,,,,x,,,,,
1200 Pieces,1200_under_construction.jpg,Chain Link,2015,,,,,,,,,,,,,,,,,,x,,,,
1200 Pieces,1200_truck.jpg,Chain Link,2015,,x,,,,,,,,,,,,,,,,x,,,,
1200 Pieces,1200_king_farm.jpg,Chain Link,2015,,x,,,,,,,,,,,,,,,,x,,,,
1200 Pieces,1200_autumn.jpg,Chain Link,2015,,x,x,x,,,,,,,,,,,,,,x,,,,
1200 Pieces,cube.jpg,Chain Link,2015,,x,,,,,,,,,,,,x,,,,x,,,,
Tendrils,tendrils.jpg,PVC,2014,,x,,,,,,,,,,,,,,x,,,,, ,
Essence,essence.jpg,PVC,2014,,x,,,,,,,,,,,,,,x,,,,,,
Bee-Dib,bosind_s.jpg,Google Earth Visualization,2014,,x,,,,,,,,,,,,,,,,,,,,
PVC 6,big_pvc.jpg,PVC,2014,,x,x,,,,,,,,,,,,,x,,,,,,
Tendrils,above_tendrils.jpg,PVC,2014,,x,,x,,,,,,,,,,,,x,,,,,,
Power,power.jpg,"PVC, wire",2013,,x,x,x,,,,,,,,,,,,x,,,,,,
Device Four,pic14.jpg,Photoshop,2013,,x,,,,,,,,,,,,,x,,,,,,,x
Device Seven Scene,IMG_4418.jpg,Photograph,2013,x,x,,x,,,,,,,,,,,,,,,,,,x
Palais Garnier,IMG_3751.jpg,Photograph,2013,,x,,,,,,,,,,,,,,,,,,,,
Catacombs,IMG_3700.jpg,Photograph,2013,,x,,,,,,,,,,,,,,,,,,,,
Education Series,education_v2_site_9.jpg,Photograph,2013,,,,,,,,,,,,,,,,,,,,,,
Education Series,education_v2_site_8.jpg,Photograph,2013,,,,,,,,,,,,,,,,,,,,,,
Education Series,education_v2_site_7.jpg,Photograph,2013,,,,,,,,,,,,,,,,,,,,,,
Education Series,education_v2_site_6.jpg,Photograph,2013,,,,,,,,,,,,,,,,,,,,,,
Education Series,education_v2_site_5.jpg,Photograph,2013,,,,,,,,,,,,,,,,,,,,,,
Education Series,education_v2_site_4.jpg,Photograph,2013,,,,,,,,,,,,,,,,,,,,,,
Education Series,education_v2_site_2.jpg,Photograph,2013,,,,,,,,,,,,,,,,,,,,,,
Education Series,education_v2_site_10.jpg,Photograph,2013,,,,,,,,,,,,,,,,,,,,,,
Education Series,education_v2_site_1.jpg,Photograph,2013,,x,,,,,,,,,,,,,,,,,,,,
Device Work,device_work.jpg,Photoshop,2013,,x,,,,,,,,,,,,,,,,,,,,
Device Four,device_4.jpg,Photograph,2013,,x,,,,,,,,,,,,,,,,,,,,x
QR Blue,device_3_qr_blue.jpg,Photoshop,2013,,x,,x,,,,,,,,,,,x,,,,,,,x
Device Three at the Graveyard,device_3_at_the_graveyard.jpg,Photoshop,2013,,x,x,,,,,,,,,,,,,,,,,,,x
Device One Swimmer,device_1_s_swimmer.jpg,Photograph,2013,,x,,x,,,,,,,,,,,,,,,,,,x
Seven Cards,card_md_4.jpg,"PVC, Sharpie, Paint",2013,,x,,,,,,,,,,,,,,,,,,,,x
Device Seven Washed,card_md_3.jpg,Photoshop,2013,,x,,,,,,,,,,,,,,,,,,,,x
Device One Study,card_md_2.jpg,Photograph,2013,,x,,,,,,,,,,,,,,,,,,,,x
Device One Study,card_md_1.jpg,Photograph,2013,,x,x,,,,,,,,,,,,,,,,,,,x
Device Fragment,bxiie_ul_10.jpg,PVC,2013,,x,x,,,,,,,,,,,,,x,,,,,,
Lid,bxiie_br_8.jpg,Plastic,2013,,x,,,,,,,,,,,,,,,,,,,x,
Plastic,bxiie_br_7.jpg,Plastic,2013,,x,,,,,,,,,,,,,,,,,,,x,
Plastic,bxiie_br_6.jpg,Plastic,2013,,x,,,,,,,,,,,,,,,,,,,x,
Device Two,bxiie_br_5.jpg,PVC,2013,,x,,x,,,,,,,,,,,x,,,,,,,x
Red Paint Process,bxiie_br_43.jpg,"Bent credit card is dipped in paint, briefly allowed to drain, then placed under a cover for several days.",2013,,x,,,,,,,,,,,,,,,,,,,,
Device One,bxiie_br_4.jpg,"PVC, Acrylic, Faux Fur",2013,x,x,,,,,,,,,,,,,,,,,,,,x
In Paint,bxiie_br_34.jpg,"PVC, paint",2013,,x,,,,,,,,,,,,,,,,,,,,x
Plastic,bxiie_br_30.jpg,Photograph,2013,,x,x,,,,,,,,,,,,,,,,,,,
Red Fan,bxiie_br_3.jpg,"PVC, gravel",2013,,x,,,,,,,,,,,,,,x,,,,,,
Reflections,bxiie_br_2.jpg,PVC,2013,,x,,,,,,,,,,,,,,x,,,,,,
Subite,bxiie_br_1.jpg,PVC,2013,,x,x,,,,,,,,,,,,,x,,,,,,
Device Three at the Tower,bxiie_8.jpg,Photoshop,2013,,x,,x,,,,,,,,,,,x,,,,,,,x
Stone Metro,bxiie_3.jpg,Photoshop,2013,,x,,,,,,,,,,,,,x,,,,,,,
PVC Two,bxiie_2_3.jpg,PVC,2013,,x,,,,,,,,,,,,,,x,,,,,,
Reflections,bxiie_2_1.jpg,Photograph,2013,,x,x,x,,,,,,,,,,,,,,,,,,
Amsden Hollow Irene,bxiie_26.jpg,Image Collage,2011,,x,,,,,,,,,,,,,x,,,,,,,
